nombre_imagen, equivPxmmR1, equivPxmmR2, equivPxmmR3, equivPxmmR4, sumaAreaPxR1, sumaAreaPxR2, sumaAreaPxR3, sumaAreaPxR4, diametroPxR1, diametroPxR2, diametroPxR3, diametroPxR4, ejeMayorPxR1, ejeMayorPxR2, ejeMayorPxR3, ejeMayorPxR4, ejeMenorPxR1, ejeMenorPxR2, ejeMenorPxR3, ejeMenorPxR4, diametrommR1, diametrommR2, diametrommR3, diametrommR4, ejeMayormmR1, ejeMayormmR2, ejeMayormmR3, ejeMayormmR4, ejeMenormmR1, ejeMenormmR2, ejeMenormmR3, ejeMenormmR4, clasificacionSize 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_001.jpg,     0.3626,     0.4872,     0.4978,     0.5019,22231.0000, 12310.0000, 11793.0000, 11602.0000,   168.2421,   125.1942,   122.5370,   121.5406,   170.9117,   131.7654,   123.2366,   126.8647,   165.6495,   119.0061,   121.9051,   116.4999,    61.0000,    61.0000,    61.0000,    61.0000,    61.9680,    64.2017,    61.3483,    63.6721,    60.0600,    57.9849,    60.6855,    58.4702, SIN_CLASIFICAR 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_002.jpg,     0.3626,     0.4872,     0.4978,     0.5019,23292.0000, 12338.0000, 11801.0000, 12180.0000,   172.2100,   125.3365,   122.5785,   124.5314,   174.4699,   132.2470,   123.6272,   129.6638,   170.0205,   118.8495,   121.6267,   119.6610,    62.4387,    61.0693,    61.0207,    62.5010,    63.2581,    64.4364,    61.5428,    65.0770,    61.6449,    57.9086,    60.5469,    60.0567, SIN_CLASIFICAR 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_003.jpg,     0.3626,     0.4872,     0.4978,     0.5019,22229.0000, 12334.0000, 11623.0000, 11479.0000,   168.2345,   125.3161,   121.6506,   120.8947,   170.9395,   132.0471,   122.4059,   125.5997,   165.5977,   118.9711,   120.9931,   116.4213,    60.9973,    61.0594,    60.5588,    60.6758,    61.9780,    64.3390,    60.9348,    63.0372,    60.0412,    57.9679,    60.2314,    58.4307, SIN_CLASIFICAR 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_004.jpg,     0.3626,     0.4872,     0.4978,     0.5019,23004.0000, 12447.0000, 11477.0000, 11597.0000,   171.1421,   125.8889,   120.8841,   121.5144,   174.3047,   132.5600,   121.7371,   126.1416,   168.0820,   119.6198,   120.0919,   117.1063,    62.0515,    61.3385,    60.1772,    60.9869,    63.1982,    64.5889,    60.6018,    63.3092,    60.9420,    58.2839,    59.7828,    58.7745, SIN_CLASIFICAR 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_005.jpg,     0.3626,     0.4872,     0.4978,     0.5019,25189.0000, 13650.0000, 12913.0000, 12959.0000,   179.0855,   131.8322,   128.2238,   128.4520,   182.7919,   138.9119,   130.1578,   133.3056,   175.9489,   125.2788,   126.5545,   124.0571,    64.9316,    64.2343,    63.8310,    64.4688,    66.2754,    67.6839,    64.7937,    66.9047,    63.7943,    61.0412,    63.0000,    62.2630, SIN_CLASIFICAR 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_006.jpg,     0.3626,     0.4872,     0.4978,     0.5019,23282.0000, 12637.0000, 11742.0000, 11728.0000,   172.1731,   126.8461,   122.2717,   122.1988,   175.2793,   134.0044,   123.1500,   127.2078,   169.1830,   120.1153,   121.4977,   117.4428,    62.4253,    61.8049,    60.8680,    61.3304,    63.5515,    65.2927,    61.3052,    63.8443,    61.3412,    58.5253,    60.4827,    58.9434, SIN_CLASIFICAR 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_007.jpg,     0.3626,     0.4872,     0.4978,     0.5019,24568.0000, 13428.0000, 12730.0000, 12643.0000,   176.8642,   130.7557,   127.3120,   126.8762,   179.6092,   137.9051,   129.0761,   132.3328,   174.2414,   124.1059,   125.8898,   121.8014,    64.1262,    63.7098,    63.3770,    63.6779,    65.1214,    67.1933,    64.2552,    66.4165,    63.1752,    60.4697,    62.6691,    61.1309, SIN_CLASIFICAR 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_008.jpg,     0.3626,     0.4872,     0.4978,     0.5019,23537.0000, 12606.0000, 12267.0000, 12462.0000,   173.1134,   126.6904,   124.9753,   125.9647,   177.1472,   133.6101,   127.3356,   132.4621,   169.2976,   120.2680,   122.8024,   119.9221,    62.7662,    61.7290,    62.2138,    63.2204,    64.2288,    65.1006,    63.3888,    66.4814,    61.3828,    58.5998,    61.1321,    60.1877, SIN_CLASIFICAR 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_009.jpg,     0.3626,     0.4872,     0.4978,     0.5019,23273.0000, 12529.0000, 12150.0000, 12365.0000,   172.1398,   126.3029,   124.3779,   125.4735,   175.0102,   132.9802,   125.6900,   131.6598,   169.4394,   120.0495,   123.2027,   119.7203,    62.4132,    61.5402,    61.9164,    62.9739,    63.4540,    64.7937,    62.5696,    66.0787,    61.4342,    58.4933,    61.3314,    60.0864, SIN_CLASIFICAR 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_010.jpg,     0.3626,     0.4872,     0.4978,     0.5019,23613.0000, 12544.0000, 12320.0000, 12683.0000,   173.3926,   126.3785,   125.2450,   127.0767,   176.7861,   133.0796,   125.7456,   132.6993,   170.2933,   120.1304,   124.9114,   121.9593,    62.8675,    61.5770,    62.3481,    63.7785,    64.0979,    64.8421,    62.5973,    66.6005,    61.7438,    58.5327,    62.1820,    61.2101, SIN_CLASIFICAR 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_011.jpg,     0.3626,     0.4872,     0.4978,     0.5019,24739.0000, 13333.0000, 12864.0000, 13030.0000,   177.4787,   130.2924,   127.9803,   128.8034,   179.9926,   137.1088,   129.2934,   135.3171,   175.3093,   124.0811,   127.1397,   122.8524,    64.3490,    63.4840,    63.7097,    64.6451,    65.2605,    66.8053,    64.3634,    67.9143,    63.5624,    60.4576,    63.2913,    61.6584, SIN_CLASIFICAR 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_012.jpg,     0.3626,     0.4872,     0.4978,     0.5019,23098.0000, 12458.0000, 11814.0000, 12022.0000,   171.4914,   125.9445,   122.6460,   123.7210,   174.5440,   132.3853,   124.1037,   129.5006,   168.5568,   119.8728,   121.2612,   118.2855,    62.1781,    61.3656,    61.0543,    62.0943,    63.2849,    64.5038,    61.7799,    64.9951,    61.1141,    58.4072,    60.3649,    59.3663, SIN_CLASIFICAR 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_013.jpg,     0.3626,     0.4872,     0.4978,     0.5019,24987.0000, 13309.0000, 13090.0000, 13182.0000,   178.3660,   130.1751,   129.0996,   129.5525,   181.4595,   137.1689,   133.2063,   136.2532,   175.6685,   123.7748,   125.7901,   123.5416,    64.6707,    63.4269,    64.2669,    65.0211,    65.7923,    66.8346,    66.3113,    68.3841,    63.6927,    60.3084,    62.6194,    62.0043, SIN_CLASIFICAR 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_014.jpg,     0.3626,     0.4872,     0.4978,     0.5019,23578.0000, 12396.0000, 11752.0000, 12158.0000,   173.2641,   125.6307,   122.3238,   124.4188,   176.4615,   132.0764,   123.8777,   130.0762,   170.1842,   119.5966,   120.8585,   119.0853,    62.8209,    61.2127,    60.8939,    62.4446,    63.9802,    64.3533,    61.6674,    65.2839,    61.7042,    58.2726,    60.1645,    59.7677, SIN_CLASIFICAR 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_015.jpg,     0.3626,     0.4872,     0.4978,     0.5019,24743.0000, 12927.0000, 12101.0000, 12565.0000,   177.4930,   128.2933,   124.1268,   126.4842,   180.6355,   134.6103,   124.6448,   132.6166,   174.5149,   122.3700,   123.7050,   120.7775,    64.3542,    62.5100,    61.7915,    63.4812,    65.4935,    65.5879,    62.0493,    66.5590,    63.2744,    59.6239,    61.5814,    60.6170, SIN_CLASIFICAR 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_016.jpg,     0.3626,     0.4872,     0.4978,     0.5019,25371.0000, 13224.0000, 12675.0000, 13225.0000,   179.7314,   129.7587,   127.0367,   129.7636,   182.9682,   137.3849,   128.1123,   135.6061,   176.9095,   122.7188,   126.3158,   124.7717,    65.1657,    63.2240,    63.2400,    65.1271,    66.3393,    66.9399,    63.7755,    68.0594,    64.1426,    59.7939,    62.8811,    62.6217, SIN_CLASIFICAR 
/home/usuario/development/orange_classification/OrangeResults/DATASET/inputToCalibrate/calibracion_017.jpg,     0.3626,     0.4872,     0.4978,     0.5019,23725.0000, 12222.0000, 12266.0000, 12844.0000,   173.8034,   124.7459,   124.9702,   127.8808,   176.3656,   130.4734,   125.5391,   133.3862,   171.4426,   119.3652,   124.5985,   122.7293,    63.0164,    60.7816,    62.2113,    64.1821,    63.9454,    63.5723,    62.4945,    66.9452,    62.1604,    58.1598,    62.0263,    61.5966, SIN_CLASIFICAR 
